"idsensore","data","valore","stato","idoperatore"
"20528","2025-01-01T00:00:00.000","51.2","VA","1"
"20529","2025-01-01T00:00:00.000","157","VA","1"
"20565","2025-01-01T00:00:00.000","65","VA","1"
"29041","2024-12-31T22:00:00.000","2.0","VA","1"
"29041","2024-12-31T23:00:00.000","1.7","VA","1"
"29041","2025-01-01T00:00:00.000","1.9","VA","1"
"30158","2025-01-01T00:00:00.000","47","VA","1"
"30162","2024-12-31T22:00:00.000","194.3","VA","1"
"30162","2024-12-31T23:00:00.000","90.9","VA","1"
"30162","2025-01-01T00:00:00.000","41.5","VA","1"
"30163","2024-12-31T21:00:00.000","55.8","VA","1"
"30163","2024-12-31T22:00:00.000","54.3","VA","1"
"30163","2024-12-31T23:00:00.000","46.9","VA","1"
"30163","2025-01-01T00:00:00.000","35.6","VA","1"
"30165","2024-12-31T21:00:00.000","3.1","VA","1"
"30165","2024-12-31T22:00:00.000","4.0","VA","1"
"30165","2024-12-31T23:00:00.000","4.4","VA","1"
"30165","2025-01-01T00:00:00.000","5.9","VA","1"
"30166","2024-12-31T21:00:00.000","4.0","VA","1"
"30166","2024-12-31T22:00:00.000","3.9","VA","1"
"30166","2024-12-31T23:00:00.000","3.0","VA","1"
"30166","2025-01-01T00:00:00.000","2.5","VA","1"
"5504","2024-12-31T22:00:00.000","73.2","VA","1"
"5504","2024-12-31T23:00:00.000","74.4","VA","1"
"5504","2025-01-01T00:00:00.000","76.2","VA","1"
"5507","2024-12-31T22:00:00.000","116.9","VA","1"
"5507","2024-12-31T23:00:00.000","110.3","VA","1"
"5507","2025-01-01T00:00:00.000","94.0","VA","1"
"5517","2024-12-31T22:00:00.000","71.0","VA","1"
"5517","2024-12-31T23:00:00.000","71.2","VA","1"
"5517","2025-01-01T00:00:00.000","63.6","VA","1"
"5520","2024-12-31T22:00:00.000","42.4","VA","1"
"5520","2024-12-31T23:00:00.000","47.1","VA","1"
"5520","2025-01-01T00:00:00.000","42.1","VA","1"
"5531","2024-12-31T22:00:00.000","78.1","VA","1"
"5531","2024-12-31T23:00:00.000","89.0","VA","1"
"5531","2025-01-01T00:00:00.000","98.2","VA","1"
"5532","2024-12-31T22:00:00.000","96.4","VA","1"
"5532","2024-12-31T23:00:00.000","93.2","VA","1"
"5532","2025-01-01T00:00:00.000","82.4","VA","1"
"5534","2024-12-31T22:00:00.000","81.0","VA","1"
"5534","2024-12-31T23:00:00.000","82.6","VA","1"
"5534","2025-01-01T00:00:00.000","80.1","VA","1"
"5542","2024-12-31T22:00:00.000","72.1","VA","1"
"5542","2024-12-31T23:00:00.000","60.3","VA","1"
"5542","2025-01-01T00:00:00.000","60.2","VA","1"
"5545","2024-12-31T22:00:00.000","59.5","VA","1"
"5545","2024-12-31T23:00:00.000","53.4","VA","1"
"5545","2025-01-01T00:00:00.000","46.1","VA","1"
"5547","2024-12-31T22:00:00.000","83.7","VA","1"
"5547","2024-12-31T23:00:00.000","81.5","VA","1"
"5547","2025-01-01T00:00:00.000","72.7","VA","1"
"5548","2024-12-31T22:00:00.000","40.9","VA","1"
"5548","2024-12-31T23:00:00.000","46.5","VA","1"
"5548","2025-01-01T00:00:00.000","43.1","VA","1"
"5549","2024-12-31T22:00:00.000","62.0","VA","1"
"5549","2024-12-31T23:00:00.000","58.9","VA","1"
"5549","2025-01-01T00:00:00.000","61.5","VA","1"
"5551","2024-12-31T22:00:00.000","89.0","VA","1"
"5551","2024-12-31T23:00:00.000","98.6","VA","1"
"5551","2025-01-01T00:00:00.000","101.7","VA","1"
"5554","2024-12-31T22:00:00.000","32.9","VA","1"
"5554","2024-12-31T23:00:00.000","33.8","VA","1"
"5554","2025-01-01T00:00:00.000","31.2","VA","1"
"5555","2024-12-31T22:00:00.000","39.4","VA","1"
